,price,year,floor,rooms,square,revenue,treatment,id
0,16500000.0,2009,17.0,1,39,0.0,0.0,0
1,23000000.0,2021,5.0,1,45,0.0,0.0,1
2,44700000.0,2015,4.0,2,79,0.0,1.0,2
3,10500000.0,2011,23.0,1,30,0.0,1.0,3
4,40000000.0,2022,5.0,2,71,0.0,0.0,4
5,12500000.0,2008,12.0,1,36,0.0,0.0,5
6,55000000.0,2020,4.0,3,88,0.0,1.0,6
7,56000000.0,2021,5.0,3,103,0.0,0.0,7
8,46000000.0,2018,2.0,3,87,0.0,0.0,8
9,18000000.0,2011,2.0,1,34,0.0,1.0,9
10,27000000.0,1987,4.0,3,63,0.0,1.0,10
11,17500000.0,2022,9.0,1,35,0.0,0.0,11
12,55000000.0,2018,10.0,3,98,0.0,0.0,12
13,17300000.0,1964,1.0,2,45,0.0,1.0,13
14,45000000.0,2008,4.0,4,130,225.0,1.0,14
15,8500000.0,2006,2.0,1,21,0.0,0.0,15
16,8200000.0,2022,1.0,1,25,0.0,0.0,16
17,8000000.0,1980,3.0,1,18,0.0,1.0,17
18,34000000.0,2021,3.0,3,83,0.0,1.0,18
19,30000000.0,2022,7.0,2,51,0.0,1.0,19
20,75000000.0,2017,3.0,2,79,0.0,1.0,20
21,37000000.0,2019,2.0,3,70,0.0,1.0,21
22,45000000.0,2010,5.0,3,99,0.0,0.0,22
23,46500000.0,2019,9.0,3,86,0.0,1.0,23
24,19000000.0,2010,12.0,2,47,0.0,0.0,24
25,26000000.0,2022,6.0,2,56,0.0,1.0,25
26,25500000.0,2019,4.0,2,64,0.0,0.0,26
27,23500000.0,2019,9.0,1,38,0.0,1.0,27
28,32000000.0,2011,13.0,2,69,0.0,0.0,28
29,100000000.0,2011,2.0,4,205,0.0,1.0,29
30,6900000.0,2017,1.0,1,35,0.0,1.0,30
31,38000000.0,2021,6.0,2,66,0.0,0.0,31
32,18800000.0,2011,12.0,1,47,0.0,1.0,32
33,14500000.0,1968,1.0,1,40,1175.0,0.0,33
34,25899990.0,2015,6.0,3,70,1020.0,0.0,34
35,28900000.0,2015,8.0,3,70,0.0,1.0,35
36,45000000.0,2007,8.0,3,105,0.0,1.0,36
37,22000000.0,2017,7.0,1,42,0.0,0.0,37
38,45000000.0,2008,17.0,3,135,0.0,1.0,38
39,17600000.0,2005,1.0,1,38,0.0,0.0,39
40,20000000.0,2023,5.0,1,40,0.0,0.0,40
41,112000000.0,2018,3.0,4,122,0.0,0.0,41
42,9500000.0,2023,8.0,1,20,0.0,0.0,42
43,22500000.0,2006,4.0,1,40,0.0,0.0,43
44,26500000.0,1990,3.0,2,61,0.0,0.0,44
45,27000000.0,2022,8.0,2,69,0.0,0.0,45
46,18000000.0,1970,4.0,2,46,150.0,0.0,46
47,15000000.0,2016,2.0,1,40,0.0,0.0,47
48,17500000.0,2019,6.0,2,50,0.0,0.0,48
49,39000000.0,2023,14.0,3,97,0.0,0.0,49
