,passport_id,region,platform,user_type_cars_name,number_ads,revenue,vas,combined,combined_weight,group
105602,136957831,Волгоград,android,cars_seller,1,0,0,"('Волгоград', 'android', 'cars_seller', 0)",7.321501786446436e-06,['A']
46619,142530464,Волгоград,android,cars_seller,1,0,0,"('Волгоград', 'android', 'cars_seller', 0)",7.321501786446436e-06,['B']
97503,143220356,Волгоград,android,cars_seller,2,0,0,"('Волгоград', 'android', 'cars_seller', 0)",7.321501786446436e-06,['B']
35633,137497307,Волгоград,android,cars_seller,1,0,0,"('Волгоград', 'android', 'cars_seller', 0)",7.321501786446436e-06,['A']
52222,131622431,Волгоград,android,cars_seller,1,0,0,"('Волгоград', 'android', 'cars_seller', 0)",7.321501786446436e-06,['A']
6421,124233557,Волгоград,android,cars_seller,1,205,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['A']
103975,135092709,Волгоград,android,cars_seller,2,720,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['A']
125238,133308125,Волгоград,android,cars_seller,1,205,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['B']
96439,123859717,Волгоград,android,cars_seller,2,410,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['B']
31840,123806988,Волгоград,android,cars_seller,1,205,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['B']
10786,134438995,Волгоград,android,cars_seller,2,205,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['B']
33833,124203591,Волгоград,android,cars_seller,2,410,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['A']
62152,134694749,Волгоград,android,cars_seller,1,380,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['A']
85252,132610288,Волгоград,android,cars_seller,2,380,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['B']
48397,141165691,Волгоград,android,cars_seller,1,205,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['A']
108591,123972460,Волгоград,android,cars_seller,1,205,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['A']
45340,123500738,Волгоград,android,cars_seller,1,190,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['B']
5941,129615465,Волгоград,android,cars_seller,1,205,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['B']
33917,134974763,Волгоград,android,cars_seller,1,1484,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['A']
16257,132775904,Волгоград,android,cars_seller,1,190,1,"('Волгоград', 'android', 'cars_seller', 1)",7.321501786446436e-06,['A']
103056,138628840,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
82593,123489127,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
95846,133139455,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
56699,143958538,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
92439,132943559,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
13958,142923250,Волгоград,android,cars_simple,2,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
77383,140953567,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
7183,138208187,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
104650,127740517,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
54929,137271779,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
37848,134314025,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
90013,142684104,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
61617,124179367,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
103691,142563592,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
96888,136756077,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
18537,143780000,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
101162,142674826,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
111169,138162745,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
77707,132475398,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
71592,126103723,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
34933,143759624,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
2530,128658241,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
133715,133513869,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
77459,141124573,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
94644,124540852,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
107749,142830562,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
23647,125603195,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
124673,133443109,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
58537,137791465,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
128173,143651770,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
124145,135745993,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
94745,123789991,Волгоград,android,cars_simple,2,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
40103,127376373,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
55936,136376239,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
75941,143289026,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
88013,124040300,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
88998,143601760,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
1520,144142628,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
10282,140429127,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
9668,134120633,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
103202,144125776,Волгоград,android,cars_simple,2,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
62623,132757002,Волгоград,android,cars_simple,3,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
72974,143679386,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
125001,133800615,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
38559,141519151,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
48507,143118268,Волгоград,android,cars_simple,3,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
52668,129499345,Волгоград,android,cars_simple,2,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
131590,137010313,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
132191,133265759,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
36863,131540147,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
99431,142110908,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
44918,124714381,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
47325,138714286,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
21211,131833915,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
97787,133720753,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
136416,132551058,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
5220,144424018,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
37032,123593232,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
34991,131835121,Волгоград,android,cars_simple,4,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
64697,137071749,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
117596,137012827,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
29752,131598139,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
82769,124951748,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
19477,136712689,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
6709,123540987,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
8083,140869315,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
53429,136379257,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
117360,132520050,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
36969,135923913,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
51631,141309691,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
93131,136726807,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
33091,143476404,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
54295,125237312,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
95389,133359099,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
56604,143532854,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
58583,144413556,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
23391,133168801,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
82935,138151319,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
91577,138783192,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
23319,131589961,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
22238,135034209,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
97209,124250182,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
45276,129287353,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
56749,136104697,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
74619,137584385,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
48285,142771088,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
40354,138803050,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
50230,144260732,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
75684,132871129,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
35057,136338097,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
94605,142883322,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
25396,129279467,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
10603,132908827,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['B']
119786,124634413,Волгоград,android,cars_simple,1,0,0,"('Волгоград', 'android', 'cars_simple', 0)",7.321501786446436e-06,['A']
