ARPU,is_capital,is_pro,group
250.5,region,1,1
182.0,capital,0,1
75.0,region,0,0
532.5,capital,1,0
88.0,region,0,1
111.0,region,0,1
86.0,region,0,1
193.0,capital,0,1
173.0,region,0,0
105.0,region,0,0
89.0,region,0,1
199.0,capital,0,1
3.0,region,0,1
93.0,region,0,0
77.0,region,0,0
179.0,capital,0,0
202.0,capital,0,1
88.0,region,0,1
81.0,region,0,0
0.0,region,0,0
84.0,region,0,1
133.0,region,0,0
103.0,region,0,1
98.0,region,0,0
74.0,region,0,0
90.0,region,0,1
101.0,region,0,0
173.0,capital,0,1
174.0,capital,0,0
129.0,region,0,1
90.0,region,0,0
0.0,capital,0,0
63.0,region,0,1
114.0,region,0,0
108.0,region,0,1
114.0,region,0,0
113.0,region,0,0
72.0,region,0,1
83.0,region,0,0
150.5,region,1,1
95.0,region,0,1
198.0,capital,0,0
90.0,region,0,0
114.0,region,0,1
186.0,capital,0,0
96.0,region,0,1
109.0,region,0,0
3.0,region,0,1
102.0,region,0,0
107.0,region,0,0
190.0,capital,0,1
191.0,capital,0,0
82.0,region,0,0
108.0,region,0,0
239.0,capital,0,1
65.0,region,0,1
3.0,region,0,1
104.0,region,0,0
114.0,region,0,0
3.0,capital,1,1
198.0,capital,0,1
109.0,region,0,0
100.0,region,0,0
201.0,capital,0,0
104.0,region,0,0
88.0,region,0,1
177.0,capital,0,0
221.0,capital,0,0
300.0,region,1,0
0.0,region,0,0
110.0,region,0,0
91.0,region,0,1
3.0,region,0,1
199.0,capital,0,0
126.0,region,0,0
3.0,capital,0,1
3.0,capital,0,1
111.0,region,0,0
108.0,region,0,1
102.0,region,0,1
82.0,region,0,0
112.0,region,0,0
210.0,capital,0,1
3.0,capital,0,1
105.0,region,0,1
82.0,region,0,0
105.0,region,0,0
176.0,capital,0,1
3.0,region,0,1
112.0,region,0,1
205.0,capital,0,1
126.0,region,0,0
216.0,capital,0,1
205.0,capital,0,0
111.0,region,0,1
90.0,region,0,1
198.0,capital,0,0
3.0,capital,0,1
234.0,capital,0,0
0.0,region,0,0
93.0,region,0,1
239.0,capital,0,0
92.0,region,0,0
105.0,region,0,0
211.0,capital,0,0
0.0,region,0,0
125.0,region,0,0
3.0,region,0,1
201.0,capital,0,0
122.0,region,0,0
98.0,region,0,1
3.0,region,0,1
196.0,capital,0,0
85.0,region,0,0
3.0,region,0,1
3.0,region,0,1
185.0,capital,0,0
82.0,region,0,0
120.0,region,0,1
119.0,region,0,1
220.0,capital,0,1
0.0,region,1,0
74.0,region,0,0
0.0,region,0,0
0.0,region,0,0
121.0,region,0,1
497.5,capital,1,0
82.0,region,0,0
117.0,region,0,1
250.0,region,1,0
86.0,region,0,0
90.0,region,0,1
116.0,region,0,0
83.0,region,0,0
535.0,capital,1,0
199.0,capital,0,0
103.0,region,0,1
223.0,capital,0,0
140.0,region,0,1
109.0,region,0,1
120.0,region,0,0
79.0,region,0,0
104.0,region,0,0
168.0,region,1,1
94.0,region,0,0
54.0,region,0,1
122.0,region,0,0
93.0,region,0,1
241.0,capital,0,0
0.0,region,0,0
89.0,region,0,0
215.0,capital,0,0
62.0,region,0,1
210.0,capital,0,0
64.0,region,0,0
3.0,region,0,1
300.5,region,1,1
227.0,capital,0,0
235.0,capital,0,1
227.0,capital,0,1
102.0,region,0,1
205.5,region,1,1
214.0,capital,0,1
3.0,capital,1,1
97.0,region,0,0
300.0,region,1,0
115.0,region,0,0
125.0,region,0,1
231.0,capital,0,1
185.0,capital,0,0
56.0,region,0,0
3.0,region,0,1
0.0,region,0,0
3.0,capital,0,1
232.0,capital,0,0
227.5,region,1,0
179.0,capital,0,0
495.0,capital,1,0
0.0,capital,0,0
3.0,capital,0,1
184.0,capital,0,1
93.0,region,0,0
75.0,region,0,0
78.0,region,0,1
209.0,capital,0,0
81.0,region,0,1
0.0,region,0,0
189.0,capital,0,0
3.0,region,0,1
117.0,region,0,0
193.0,capital,0,1
120.0,region,0,1
76.0,region,0,1
3.0,region,0,1
0.0,region,0,0
290.5,region,1,1
3.0,region,0,1
0.0,region,0,0
84.0,region,0,1
0.0,region,0,0
213.0,capital,0,0
69.0,region,0,0
69.0,region,0,0
206.0,capital,0,1
182.0,capital,0,1
3.0,region,0,1
3.0,capital,0,1
105.0,region,0,1
77.0,region,0,1
122.0,region,0,1
193.0,capital,0,0
114.0,region,0,1
210.0,capital,0,1
112.0,region,0,0
3.0,region,0,1
180.0,capital,0,1
208.0,region,1,1
0.0,region,0,0
138.0,region,0,1
99.0,region,0,1
112.0,region,0,0
127.0,region,0,0
130.0,region,0,0
199.0,capital,0,0
217.0,capital,0,0
197.0,capital,0,0
180.0,capital,0,0
93.0,region,0,1
194.0,capital,0,1
200.0,capital,0,0
3.0,region,0,1
200.0,capital,0,1
0.0,region,0,0
104.0,region,0,1
583.0,capital,1,1
413.0,capital,1,1
91.0,region,0,1
3.0,region,0,1
0.0,capital,0,0
202.0,capital,0,0
221.0,capital,0,1
222.0,capital,0,0
99.0,region,0,0
77.0,region,0,1
123.0,region,0,1
0.0,region,0,0
0.0,capital,0,0
3.0,region,0,1
3.0,capital,0,1
210.0,capital,0,1
0.0,region,0,0
91.0,region,0,1
115.0,region,0,1
80.0,region,0,0
195.5,region,1,1
204.0,capital,0,1
455.5,capital,1,1
0.0,capital,0,0
144.0,region,0,1
108.0,region,0,1
123.0,region,0,1
185.0,capital,0,0
111.0,region,0,0
209.0,capital,0,1
233.0,capital,0,1
3.0,region,0,1
80.0,region,0,1
145.0,region,0,0
65.0,region,0,0
74.0,region,0,0
184.0,capital,0,0
102.0,region,0,1
89.0,region,0,1
3.0,region,0,1
200.0,capital,0,1
93.0,region,0,0
118.0,region,0,0
85.0,region,0,1
203.0,capital,0,1
0.0,capital,0,0
0.0,region,0,0
122.0,region,0,0
94.0,region,0,1
0.0,capital,0,0
126.0,region,0,1
129.0,region,0,0
211.0,capital,0,0
192.0,capital,0,0
0.0,region,0,0
3.0,capital,0,1
218.0,capital,0,1
196.0,capital,0,1
0.0,region,1,0
119.0,region,0,0
127.0,region,0,1
129.0,region,0,1
99.0,region,0,0
169.0,capital,0,1
605.5,capital,1,1
